ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
173121080,12/31/2017,263,"ARSON 2,3,4",114,ARSON,PL 1500501,F,K,67,71,45-64,M,BLACK HISPANIC,996876.0,177505.0,40.65388611000003,-73.95449784399995
172875606,12/22/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501001,F,M,24,0,45-64,M,WHITE,993373.0,229301.0,40.79605784000006,-73.96705230699997
172820283,12/20/2017,263,"ARSON 2,3,4",114,ARSON,PL 1500501,F,S,120,97,<18,M,WHITE HISPANIC,950687.0,167880.0,40.62741295700005,-74.12091320599995
172727900,12/18/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,M,34,0,45-64,F,WHITE HISPANIC,1002162.0,249364.0,40.851111636000034,-73.93525591199995
172727898,12/18/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,M,34,0,45-64,F,WHITE HISPANIC,1002162.0,249364.0,40.851111636000034,-73.93525591199995
172727909,12/18/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,M,34,0,45-64,F,WHITE,1002162.0,249364.0,40.851111636000034,-73.93525591199995
172709924,12/18/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,M,34,0,45-64,M,WHITE,1001633.0,250506.0,40.854247144000055,-73.93716509799998
172616181,12/14/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,M,19,71,25-44,F,BLACK,997039.0,222374.0,40.77704053000008,-73.95382516299998
172303998,12/05/2017,261,ARSON 1,114,ARSON,PL 1502001,F,B,49,0,25-44,M,BLACK,1028857.0,246461.0,40.843049260000036,-73.83878239499995
172211133,12/03/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501001,F,K,75,0,25-44,M,UNKNOWN,1018667.0,181540.0,40.66490340900003,-73.87594342799997
172185746,12/02/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,Q,115,0,25-44,M,BLACK HISPANIC,1024818.0,213376.0,40.752259534000075,-73.85358003
172100589,11/29/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,B,46,0,45-64,M,BLACK,1011751.0,250275.0,40.85358740100002,-73.90059135599995
172100594,11/29/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,B,46,0,45-64,M,BLACK,1011751.0,250275.0,40.85358740100002,-73.90059135599995
172100599,11/29/2017,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,B,46,0,45-64,M,BLACK,1011751.0,250275.0,40.85358740100002,-73.90059135599995
