ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
172303998,12/05/2017,261,ARSON 1,114,ARSON,PL 1502001,F,B,49,0,25-44,M,BLACK,1028857.0,246461.0,40.843049260000036,-73.83878239499995
163322114,03/30/2017,261,ARSON 1,114,ARSON,PL 1502001,F,Q,113,0,25-44,M,BLACK,1049265.0,185204.0,40.67478842700007,-73.76561627799998
162037906,02/18/2017,261,ARSON 1,114,ARSON,PL 1502001,F,K,66,0,45-64,M,WHITE HISPANIC,987346.0,173568.0,40.64308835400004,-73.98884538799997
157699001,10/18/2016,261,ARSON 1,114,ARSON,PL 1502001,F,B,46,0,25-44,M,ASIAN / PACIFIC ISLANDER,1007356.0,248923.0,40.849889158000046,-73.91648296899997
157697101,10/18/2016,261,ARSON 1,114,ARSON,PL 1502001,F,B,46,0,45-64,M,WHITE HISPANIC,1007356.0,248923.0,40.849889158000046,-73.91648296899997
154944201,07/16/2016,261,ARSON 1,114,ARSON,PL 1502001,F,B,41,0,25-44,M,WHITE HISPANIC,1013070.0,238703.0,40.82182142700003,-73.89587318699995
142863364,05/13/2015,261,ARSON 1,114,ARSON,PL 150201X,F,B,48,0,25-44,M,BLACK,1016990.0,244612.0,40.838026269000075,-73.88168118799997
142863366,05/13/2015,261,ARSON 1,114,ARSON,PL 150201X,F,B,48,0,25-44,M,BLACK,1016990.0,244612.0,40.838026269000075,-73.88168118799997
140049659,12/04/2014,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,0,45-64,M,BLACK,987801.0,192258.0,40.69438807200004,-73.98719600899994
140049647,12/04/2014,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,0,45-64,M,BLACK,987801.0,192258.0,40.69438807200004,-73.98719600899994
140049663,12/04/2014,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,0,45-64,M,BLACK,987801.0,192258.0,40.69438807200004,-73.98719600899994
140049661,12/04/2014,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,0,45-64,M,BLACK,987801.0,192258.0,40.69438807200004,-73.98719600899994
140049656,12/04/2014,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,0,45-64,M,BLACK,987801.0,192258.0,40.69438807200004,-73.98719600899994
140049644,12/04/2014,261,ARSON 1,114,ARSON,PL 1502001,F,K,83,0,45-64,M,BLACK,1009398.0,188260.0,40.68337946900005,-73.90932896099997
140049654,12/04/2014,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,0,45-64,M,BLACK,987801.0,192258.0,40.69438807200004,-73.98719600899994
140049664,12/04/2014,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,0,45-64,M,BLACK,987801.0,192258.0,40.69438807200004,-73.98719600899994
140049657,12/04/2014,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,0,45-64,M,BLACK,987801.0,192258.0,40.69438807200004,-73.98719600899994
